FGs,F-score,Precision,Recall,Frequency
COP(OC)N(C)C,0.0,0.0,0.0,2
COP(OC)OC,0.0,0.0,0.0,1
COP1OccO1,0.0,0.0,0.0,1
COS(=O)(=O)OC,0.0,0.0,0.0,1
COS(=O)OC,0.0,0.0,0.0,2
COS(C)(=O)=O,0.0,0.0,0.0,7
COS(C)=O,0.0,0.0,0.0,1
CO[B,0.0,0.0,0.0,2
CP,0.0,0.0,0.0,1
CP(=O)(Cl)Cl,0.0,0.0,0.0,1
CP(=O)(O)O,0.0,0.0,0.0,1
CP(C)C,0.0,0.0,0.0,1
CP(Cl)(Cl)=[Se,0.0,0.0,0.0,1
CS,0.0,0.0,0.0,1
CS(=O)(=O)Cl,0.0,0.0,0.0,1
CS(=O)(=O)F,0.0,0.0,0.0,2
CS(=O)(=O)NS(C)(=O)=O,0.0,0.0,0.0,2
CS(=O)(=O)OS(C)(=O)=O,0.0,0.0,0.0,2
CS(C)(=O)=O,0.0,0.0,0.0,2
CS(N)(=O)=O,0.0,0.0,0.0,1
CSC,0.0,0.0,0.0,2
CSC(=O)N(C)C,0.0,0.0,0.0,2
CSC(=S)N(C)C,0.0,0.0,0.0,2
CSC(C)(C)SC,0.0,0.0,0.0,2
